,dateTime,stationName,tideValue
0,2021-09-20T00:00:00Z,Bangor,0.91
1,2021-09-20T00:00:00Z,Dover,2.238
2,2021-09-20T00:00:00Z,St+Marys,-1.255
3,2021-09-20T00:00:00Z,Lowestoft,0.143
4,2021-09-20T00:00:00Z,Lerwick,0.514
5,2021-09-20T00:00:00Z,Newlyn,-1.339
6,2021-09-20T00:00:00Z,Milford+Haven,-2.628
7,2021-09-20T00:00:00Z,Weymouth,-0.488
8,2021-09-20T00:00:00Z,Ilfracombe,-3.322
9,2021-09-20T00:00:00Z,Kinlochbervie,-1.554
10,2021-09-20T00:00:00Z,Stornoway,-1.757
11,2021-09-20T00:00:00Z,Plymouth,-1.912
12,2021-09-20T00:00:00Z,Jersey,-4.073
13,2021-09-20T00:00:00Z,Ullapool,-1.653
14,2021-09-20T00:00:00Z,Newport,-4.136
15,2021-09-20T00:00:00Z,Heysham,3.182
16,2021-09-20T00:00:00Z,Wick,1.316
17,2021-09-20T00:00:00Z,Avonmouth+Portbury,-3.779
18,2021-09-20T00:00:00Z,Mumbles,-3.604
19,2021-09-20T00:00:00Z,Leith,1.903
20,2021-09-20T00:00:00Z,North+Shields,0.961
21,2021-09-20T00:00:00Z,Liverpool,2.838
22,2021-09-20T00:00:00Z,Holyhead,0.726
23,2021-09-20T00:00:00Z,Millport,1.668
24,2021-09-20T00:00:00Z,Immingham,-2.002
25,2021-09-20T00:00:00Z,Cromer,-1.423
26,2021-09-20T00:00:00Z,Whitby,0.596
27,2021-09-20T00:00:00Z,Fishguard,-1.114
28,2021-09-20T00:00:00Z,Workington,3.021
29,2021-09-20T00:00:00Z,Port+Erin,1.758
30,2021-09-20T00:00:00Z,Harwich,1.62
31,2021-09-20T00:00:00Z,Barmouth,-0.776
32,2021-09-20T00:00:00Z,Newhaven,2.021
33,2021-09-20T00:00:00Z,Portrush,-0.765
34,2021-09-20T00:00:00Z,Sheerness,2.895
35,2021-09-20T00:00:00Z,Portpatrick,1.743
36,2021-09-20T00:00:00Z,Portsmouth,1.494
37,2021-09-20T00:00:00Z,Bournemouth,0.337
38,2021-09-20T00:15:00Z,Bangor,0.766
39,2021-09-20T00:15:00Z,Dover,2.039
40,2021-09-20T00:15:00Z,St+Marys,-1.023
41,2021-09-20T00:15:00Z,Lowestoft,0.039
42,2021-09-20T00:15:00Z,Newlyn,-1.104
43,2021-09-20T00:15:00Z,Milford+Haven,-2.539
44,2021-09-20T00:15:00Z,Aberdeen,2.039
45,2021-09-20T00:15:00Z,Weymouth,-0.498
46,2021-09-20T00:15:00Z,Ilfracombe,-3.132
47,2021-09-20T00:15:00Z,Kinlochbervie,-1.644
48,2021-09-20T00:15:00Z,Stornoway,-1.822
49,2021-09-20T00:15:00Z,Plymouth,-1.732
50,2021-09-20T00:15:00Z,Jersey,-4.125
51,2021-09-20T00:15:00Z,Tobermory,-1.299
52,2021-09-20T00:15:00Z,Ullapool,-1.676
53,2021-09-20T00:15:00Z,Newport,-4.4
54,2021-09-20T00:15:00Z,Heysham,2.759
55,2021-09-20T00:15:00Z,Wick,1.177
56,2021-09-20T00:15:00Z,Avonmouth+Portbury,-4.12
57,2021-09-20T00:15:00Z,Mumbles,-3.482
58,2021-09-20T00:15:00Z,Leith,2.023
59,2021-09-20T00:15:00Z,North+Shields,1.207
60,2021-09-20T00:15:00Z,Liverpool,2.43
61,2021-09-20T00:15:00Z,Holyhead,0.423
62,2021-09-20T00:15:00Z,Millport,1.615
63,2021-09-20T00:15:00Z,Immingham,-1.793
64,2021-09-20T00:15:00Z,Cromer,-1.426
65,2021-09-20T00:15:00Z,Whitby,0.872
66,2021-09-20T00:15:00Z,Fishguard,-1.221
67,2021-09-20T00:15:00Z,Workington,2.691
68,2021-09-20T00:15:00Z,Port+Erin,1.529
69,2021-09-20T00:15:00Z,Harwich,1.391
70,2021-09-20T00:15:00Z,Barmouth,-0.871
71,2021-09-20T00:15:00Z,Newhaven,1.747
72,2021-09-20T00:15:00Z,Portrush,-0.758
73,2021-09-20T00:15:00Z,Sheerness,2.864
74,2021-09-20T00:15:00Z,Portpatrick,1.608
75,2021-09-20T00:15:00Z,Portsmouth,1.453
76,2021-09-20T00:15:00Z,Bournemouth,0.307
77,2021-09-20T00:00:00Z,Aberdeen,1.998
78,2021-09-20T00:00:00Z,Tobermory,-1.363
79,2021-09-20T00:30:00Z,Bangor,0.609
80,2021-09-20T00:30:00Z,Dover,1.823
81,2021-09-20T00:30:00Z,St+Marys,-0.767
82,2021-09-20T00:30:00Z,Lowestoft,-0.049
83,2021-09-20T00:15:00Z,Lerwick,0.393
84,2021-09-20T00:30:00Z,Newlyn,-0.837
85,2021-09-20T00:30:00Z,Milford+Haven,-2.419
86,2021-09-20T00:30:00Z,Aberdeen,2.046
87,2021-09-20T00:30:00Z,Weymouth,-0.515
88,2021-09-20T00:30:00Z,Ilfracombe,-2.911
89,2021-09-20T00:30:00Z,Kinlochbervie,-1.696
90,2021-09-20T00:30:00Z,Plymouth,-1.498
91,2021-09-20T00:30:00Z,Jersey,-4.115
92,2021-09-20T00:30:00Z,Tobermory,-1.188
93,2021-09-20T00:30:00Z,Newport,-4.628
94,2021-09-20T00:30:00Z,Wick,1.02
95,2021-09-20T00:30:00Z,Avonmouth+Portbury,-4.427
96,2021-09-20T00:30:00Z,Mumbles,-3.309
